1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
SERPINE1	8	3	6	7	10	7	6	7	10	10	3	7	10	7	9	6	8	7
EPHX1	11	7	10	10	10	12	11	12	11	12	11	11	11	12	11	11	12	11
LDHB	11	11	11	12	11	11	11	12	10	12	12	8	11	12	11	10	9	10
IVL	11	5	9	7	9	2	11	8	9	12	7	0	6	4	10	9	11	8
PFN1	10	9	11	11	11	11	11	11	10	11	11	11	11	11	9	8	8	9
EPRS1	3	2	11	7	7	9	9	9	4	12	7	5	8	9	5	10	8	10
CDH1	9	8	9	7	9	8	9	9	8	9	7	8	10	9	10	9	8	9
RNH1	6	5	11	7	8	7	9	8	7	10	8	9	9	9	4	8	5	10
HNRNPL	9	5	10	10	9	8	10	10	7	11	9	9	10	10	6	9	8	7
MUC1	9	10	9	10	10	11	11	11	10	10	9	12	11	11	8	8	8	9
ANXA7	6	3	10	7	9	7	12	10	6	9	8	9	10	9	6	7	8	8
LMNB1	7	3	10	8	10	8	8	10	6	9	7	6	9	9	10	10	10	11
VDAC1	10	7	11	10	10	11	12	11	9	11	11	10	11	11	10	11	11	11
AHCY	7	6	10	8	7	8	11	7	9	12	9	7	9	11	9	10	11	12
ABCD3	8	5	5	9	6	9	9	10	2	12	8	8	7	10	7	9	6	10
BLVRB	4	8	11	10	8	10	9	11	5	11	11	10	8	10	5	8	5	6
ATIC	6	4	9	9	9	6	10	11	5	9	8	6	10	10	8	11	9	8
NOS2	0	0	0	2	0	1	0	0	0	0	0	8	1	2	0	1	0	11
GARS1	4	6	5	4	5	8	5	6	7	10	5	3	4	7	7	8	5	9
CDH6	3	10	0	2	8	10	2	8	8	12	1	9	7	10	8	10	5	10
LYZ	6	7	8	12	10	12	9	12	8	12	8	11	6	12	4	11	3	8
FABP5	2	3	11	7	7	6	9	10	5	6	8	7	5	7	5	6	5	5
TAGLN	11	3	6	2	12	9	7	6	12	11	4	1	9	11	9	10	6	8
PSME1	8	9	10	8	11	9	11	10	10	9	8	10	9	10	10	10	10	10
LMAN2	10	6	9	12	10	12	10	11	9	11	10	10	8	11	7	9	9	9
ASAH1	10	10	10	8	9	10	11	10	10	10	9	8	8	9	8	10	7	10
PITRM1	2	3	6	8	4	9	5	7	1	10	3	4	7	9	3	8	9	10
CYFIP1	6	6	10	8	8	9	12	9	7	11	12	9	12	10	9	9	8	9
GOLM1	12	9	12	10	12	10	11	11	12	12	10	10	12	11	12	12	10	11
LMO7	3	9	11	10	8	8	10	9	4	11	8	9	9	10	4	9	8	8
IFT74	3	1	8	3	4	3	9	5	3	2	10	4	11	5	5	4	9	4
ODAD1	2	2	6	2	7	1	7	5	8	3	9	4	11	4	4	3	6	1
PARK7	6	6	12	10	9	9	10	11	8	10	11	11	10	10	8	9	8	10
VAT1	5	5	5	9	4	8	7	9	5	10	7	8	8	8	6	6	4	8
CIB1	10	8	11	11	9	9	11	12	9	6	12	12	11	10	8	8	8	9
GSTK1	6	8	10	10	9	11	10	12	7	12	10	10	7	12	6	7	9	8
CAB39	9	6	9	8	8	8	11	8	8	7	10	8	11	8	7	10	7	9
SAMHD1	4	2	10	7	9	7	8	11	6	11	10	10	9	10	6	8	6	8
ENPP3	2	1	5	3	4	3	7	4	3	3	7	4	9	4	4	4	3	3
USO1	1	2	6	5	2	4	5	6	3	7	6	6	3	5	4	3	7	7
CLSTN1	5	10	6	8	7	8	7	7	8	9	5	6	5	9	7	7	5	7
AIFM1	2	5	8	6	6	8	8	7	3	9	7	7	8	8	5	7	7	10
CYB5R3	6	5	8	8	7	6	7	8	6	10	6	7	7	7	6	6	7	9
CST3	8	8	9	11	7	10	7	11	9	10	8	9	6	11	6	7	6	6
CST1	2	9	2	11	2	9	1	10	0	10	0	10	1	9	1	10	1	7
HPX	7	6	9	9	9	9	8	10	7	9	8	9	8	9	7	9	9	6
CAT	7	3	7	8	8	8	9	10	7	9	8	10	10	10	6	9	7	9
CAPNS1	10	8	10	10	10	8	9	9	9	9	9	10	9	8	6	7	7	5
CFI	8	3	5	4	9	3	8	3	10	6	6	3	8	6	8	6	6	5
SSB	5	5	11	9	9	9	10	11	6	10	9	6	8	9	7	10	8	10
SLC3A2	4	3	4	6	9	9	7	6	9	9	6	5	5	7	8	7	2	7
RPSA	6	6	8	6	8	9	6	8	9	9	8	6	8	8	6	7	7	9
DLD	9	8	11	9	8	8	10	8	8	11	11	9	10	8	8	9	7	10
XRCC5	7	4	10	6	8	9	10	8	6	9	10	7	9	6	7	8	8	9
TPT1	5	7	8	9	6	8	8	9	6	9	8	8	7	7	5	6	5	6
ST6GAL1	6	7	9	9	9	8	9	10	8	11	7	10	8	9	7	9	7	10
CBR1	6	7	7	9	7	9	10	9	6	11	9	9	9	8	9	8	8	7
CES1	2	1	9	7	1	4	5	6	2	3	2	3	2	1	2	5	9	9
RPS3	9	4	10	9	10	10	10	10	7	10	9	7	10	10	6	9	8	9
PRDX6	9	7	9	9	10	9	10	10	9	9	10	9	9	9	8	9	8	8
PRDX3	8	7	10	10	9	10	10	10	7	10	9	9	10	10	8	9	8	9
SRI	7	4	11	8	8	10	10	10	6	10	8	10	10	9	6	8	6	7
STIP1	5	7	9	8	9	9	10	10	4	9	7	7	7	11	8	9	8	9
SHMT2	7	3	6	5	7	7	8	8	4	9	6	7	8	7	5	8	7	9
HSPA4	4	2	8	6	7	6	6	7	6	9	6	4	6	8	6	8	8	8
PHB1	8	8	9	9	9	8	9	11	9	9	9	9	9	9	10	10	8	11
RDX	8	6	10	6	9	7	8	9	7	8	10	9	10	8	10	8	9	9
PSMC2	5	3	8	6	8	10	9	10	8	11	10	6	9	8	9	8	11	11
LONP1	6	1	8	7	7	6	7	10	2	10	8	6	6	7	5	9	7	10
RPL3	7	6	10	5	9	8	8	9	7	10	6	7	7	7	10	9	6	8
IARS1	2	1	4	7	6	7	6	7	5	9	6	6	5	6	6	7	7	10
ALDH3B1	6	2	10	6	6	6	10	8	6	7	11	8	8	7	6	6	6	5
CAPZB	10	5	10	5	10	7	9	9	9	9	9	7	9	8	8	8	8	8
SERPINB4	1	9	4	7	6	7	7	8	4	9	4	8	5	9	4	8	4	7
ALDH7A1	8	5	8	9	10	8	7	8	7	11	6	6	9	8	7	7	9	6
DNM2	6	3	7	8	8	6	7	8	6	10	8	6	8	4	8	8	9	8
CAPZA1	7	7	8	5	7	8	8	10	6	9	9	8	7	9	7	6	8	6
AK2	2	5	6	8	5	7	7	8	5	9	5	8	6	9	6	8	6	8
DSTN	7	4	8	8	9	5	9	9	8	10	9	8	8	6	6	9	4	8
ACTR2	7	5	10	6	10	7	10	9	9	10	10	6	9	8	8	8	6	9
TPM4	8	8	8	7	10	9	9	6	9	9	8	7	10	10	9	8	6	8
YWHAH	7	5	7	5	8	7	10	5	8	8	11	5	10	7	4	6	6	6
DHX9	7	4	8	7	8	7	8	8	5	11	10	7	10	7	6	8	9	10
ILF3	5	3	10	1	10	5	9	7	8	10	8	6	8	8	7	8	9	8
EPS8	8	2	8	1	5	3	7	3	8	6	8	4	8	5	8	7	6	6
ALCAM	5	4	8	7	10	8	10	10	10	9	9	9	9	11	6	9	4	6
FLOT2	9	6	10	7	10	8	9	9	5	9	10	9	10	10	9	9	9	9
WFDC2	11	2	10	6	11	7	11	7	11	10	10	7	11	7	5	4	4	4
CANT1	7	7	6	7	5	8	7	10	6	10	6	10	3	9	7	10	6	11
GGH	6	8	9	9	8	10	9	11	8	10	8	7	6	11	8	9	8	11
HSD17B10	6	3	6	5	6	4	8	8	6	9	8	3	7	7	4	7	7	9
CCT7	4	3	8	6	5	8	8	8	7	8	6	6	7	8	6	7	6	7
RNPEP	7	6	9	8	9	7	8	9	6	7	9	9	9	9	5	9	7	8
DUOX2	0	6	2	8	2	8	2	7	0	9	2	7	2	10	2	8	3	8
CYB5R1	7	4	10	10	8	7	8	11	7	11	9	9	9	10	6	8	6	8
STOML2	6	4	8	7	9	9	9	7	4	8	8	7	9	7	7	9	9	9
MYO5B	1	2	9	2	6	5	9	7	3	6	8	4	8	6	4	5	6	7
PACSIN2	7	9	8	9	9	8	8	9	7	10	9	8	9	9	9	9	9	10
RTCB	3	5	7	4	6	8	8	9	4	9	7	7	7	9	6	4	7	6
A2ML1	0	1	0	2	1	2	2	6	1	6	4	3	0	2	0	1	5	9
DDX3X	5	2	7	4	7	7	7	8	6	9	9	6	8	8	7	7	6	8
ACOX3	2	2	1	6	2	7	2	9	2	9	3	8	3	9	1	8	4	10
SYNCRIP	7	6	9	9	7	9	8	9	7	9	6	7	7	8	8	8	7	6
MACROH2A1	6	4	9	6	9	7	8	8	8	8	8	7	9	5	7	9	8	8
ATP6AP2	4	6	4	4	4	5	3	7	5	8	6	8	6	5	6	7	5	7
CPD	7	3	5	8	9	7	7	8	5	9	2	7	10	7	8	8	8	10
MT-CO2	9	7	8	7	8	8	8	8	8	8	8	8	8	8	5	5	4	3
AK1	6	3	8	8	5	6	8	9	6	8	7	7	7	9	5	8	4	7
TIMP1	6	6	6	9	6	10	7	9	6	8	5	9	5	9	3	6	2	8
CEACAM5	5	9	7	9	5	10	8	10	7	9	7	10	8	10	5	8	7	10
GAA	7	5	6	4	6	4	7	6	2	4	6	3	4	6	8	5	5	6
MTHFD1	4	4	5	6	6	5	8	7	4	10	7	6	7	10	4	6	9	10
COX4I1	9	9	8	10	8	10	9	10	6	9	7	9	9	9	5	6	7	7
ETFA	7	3	7	5	9	10	7	8	7	10	6	6	8	6	7	10	9	10
PSMC3	3	1	9	6	6	7	6	8	4	9	7	6	8	6	6	7	7	7
KRT15	3	4	9	7	5	2	3	6	4	6	9	7	6	2	1	6	7	6
CPT2	6	4	8	7	6	7	7	9	5	9	8	7	8	10	6	8	8	10
MARCKS	4	3	7	4	9	6	8	6	9	8	7	5	10	8	8	9	7	7
PRDX5	9	8	10	9	10	10	10	10	10	9	10	10	10	10	8	9	8	9
PRDX2	5	5	6	8	6	7	8	7	5	7	6	8	6	7	6	6	5	7
CTNNB1	6	7	6	7	6	7	7	7	4	9	6	7	6	8	7	7	6	6
CAPG	5	5	8	6	6	6	7	7	8	7	6	6	5	5	8	8	6	7
MDH1	6	5	9	7	10	8	8	7	9	10	9	9	9	8	6	7	7	7
CAPZA2	5	1	6	2	7	5	6	4	6	7	7	4	7	7	7	7	7	7
LMAN1	5	3	7	9	6	8	5	9	5	8	7	8	6	8	6	6	6	7
CARS1	4	2	8	7	6	7	8	7	6	9	5	7	8	8	7	9	5	8
TMED10	7	7	8	8	7	8	9	9	8	9	9	7	9	8	6	7	8	8
HK2	4	2	3	8	2	8	5	9	3	10	3	7	5	8	2	10	5	9
YARS1	7	6	9	7	9	9	8	8	8	9	9	9	8	9	9	10	10	10
RAB2A	9	4	9	6	6	7	9	8	8	8	10	7	10	7	6	7	8	8
GNB1	5	1	6	1	6	2	6	4	5	3	9	4	5	4	4	4	3	3
TRAP1	2	0	5	5	4	6	7	8	1	8	7	5	8	8	5	6	7	9
DNAJC3	5	1	9	8	8	8	7	8	6	9	8	8	8	7	5	7	6	9
GALE	4	2	5	6	5	6	7	7	2	9	4	7	6	7	6	8	7	8
PDIA6	7	6	9	9	9	8	8	9	8	9	8	8	9	9	7	9	8	9
TMED2	7	2	8	6	8	6	7	6	5	7	9	5	8	6	4	3	4	4
RAB11B	7	6	9	9	8	7	10	10	7	10	9	8	8	10	8	8	8	9
DDX1	4	3	8	7	5	5	7	8	3	8	7	3	6	6	6	8	7	8
ODAD4	1	0	7	1	4	3	5	3	4	1	7	3	9	3	5	2	5	2
TUBB6	4	4	6	3	3	4	3	6	7	8	8	3	5	7	4	7	6	5
LARS1	3	2	6	8	8	8	6	6	5	8	6	6	7	5	5	9	8	7
PA2G4	4	3	7	6	7	8	6	7	6	9	6	7	8	8	7	8	9	9
COPG1	4	4	6	8	6	8	5	10	4	8	7	7	5	7	4	7	6	10
CLIC4	6	4	9	7	9	7	9	10	6	7	10	6	9	9	6	6	7	5
SDCBP	7	6	7	6	9	9	8	8	7	8	7	9	8	8	6	8	5	8
NARS1	5	4	6	4	7	7	7	7	4	8	7	6	6	6	6	6	6	7
PLIN3	2	3	8	5	7	5	9	8	8	9	6	7	8	7	8	8	6	6
NDUFS2	3	3	7	6	6	4	6	8	4	6	7	3	7	7	4	7	5	9
PDCD6	4	4	6	5	6	5	4	6	4	7	4	4	5	6	4	3	5	6
VPS4B	6	2	6	6	7	7	7	7	5	8	5	7	8	7	5	8	5	7
SERPINB7	4	4	4	4	8	7	6	5	7	5	5	4	8	6	5	5	4	6
ATP5PD	6	6	8	8	8	9	8	8	6	8	9	8	8	8	5	9	8	9
SLC34A2	7	3	7	4	7	8	7	6	7	6	8	7	8	6	7	6	7	6
ACSL3	6	3	7	7	6	6	6	8	5	9	7	5	6	8	7	8	7	9
GSR	6	5	7	7	6	7	7	7	6	7	7	7	7	7	7	7	6	7
GNAI2	7	2	6	5	6	7	7	7	6	8	8	8	8	5	5	6	6	6
ICAM1	8	5	5	6	8	7	7	6	8	7	5	6	7	6	8	7	5	5
ITGB1	6	6	6	5	8	6	7	7	6	8	6	4	7	7	6	8	5	6
S100A9	6	6	7	9	8	7	9	9	5	8	9	7	6	7	5	5	6	5
PYGL	3	2	5	6	4	6	7	9	5	8	7	7	6	6	6	8	5	7
HEXA	6	4	8	9	8	8	8	7	7	7	6	7	6	8	8	8	5	7
PSAP	8	6	6	6	9	8	8	7	9	8	6	7	9	8	8	9	8	7
CNP	5	3	7	4	6	8	6	6	5	7	7	5	7	5	4	5	6	6
TACSTD2	9	7	9	8	8	7	8	9	8	8	8	6	7	8	5	7	7	6
PABPC1	5	5	8	7	7	7	8	8	8	8	7	6	8	8	8	8	8	8
CKMT1A	1	1	3	4	2	5	4	6	1	3	5	6	2	5	1	2	2	2
PRKAR2A	1	3	6	3	3	6	3	5	2	7	4	4	4	5	3	7	4	8
B4GALT1	6	3	4	3	4	4	4	4	5	4	6	3	4	4	6	3	4	4
RPS2	8	5	7	8	7	7	7	8	6	9	8	7	7	9	7	8	7	8
DDX5	4	2	8	5	9	5	8	8	7	7	7	5	9	9	7	7	8	7
MX1	1	0	1	1	0	4	0	1	2	6	0	0	0	1	2	5	0	3
COX5A	5	4	6	7	4	5	6	7	3	7	7	6	5	7	4	6	4	6
SDHB	6	3	6	7	6	7	6	8	5	6	7	8	5	7	5	5	5	5
SCP2	7	5	7	7	7	8	7	8	5	9	8	7	7	8	6	8	7	8
FDXR	6	2	7	5	5	6	6	7	5	6	6	6	5	6	4	6	3	6
ATP5PB	6	7	6	6	6	7	7	6	4	7	7	6	7	6	7	8	7	7
ACAT1	4	1	8	6	7	8	5	8	4	7	5	7	7	7	6	8	4	7
CTSS	5	2	7	1	7	7	8	6	6	4	8	5	8	5	6	5	5	4
EEF1G	7	6	7	8	8	7	7	8	7	9	6	8	8	6	6	9	8	9
DPP4	0	5	1	5	0	6	1	7	0	6	0	7	1	6	0	6	1	6
PSMA5	5	4	8	5	6	7	7	8	6	9	7	7	6	7	6	6	5	6
EEF1D	8	5	8	8	8	8	9	9	7	9	7	7	8	7	7	8	7	8
CMPK1	6	5	7	6	6	7	7	8	6	8	7	8	6	7	6	7	7	7
PEBP1	3	2	6	7	4	7	9	8	7	8	8	5	7	6	8	7	6	7
RPL4	7	5	8	8	8	9	8	8	6	9	8	8	7	9	5	7	5	6
ETFB	7	8	8	9	8	8	8	9	7	9	9	7	9	9	7	8	7	8
MATR3	2	1	6	4	6	5	6	5	4	5	5	4	4	3	5	7	3	6
VDAC2	8	3	9	8	6	8	9	9	7	8	8	4	6	8	6	5	5	5
ALDH9A1	4	2	7	5	6	5	5	6	5	7	6	5	7	5	4	4	4	6
RARRES1	8	8	8	4	9	7	8	5	9	6	8	5	8	4	8	5	7	5
HNRNPA3	8	6	9	8	8	7	8	9	5	9	8	8	7	8	6	7	8	7
RPS18	9	8	9	9	9	9	8	9	7	9	7	8	8	9	8	8	8	8
ARF6	7	3	5	5	5	5	6	6	4	5	7	5	8	5	3	3	3	3
RPS4X	6	4	7	5	6	6	6	7	4	9	5	5	6	7	5	8	5	7
SRSF1	7	5	8	7	7	8	8	8	8	8	5	7	8	8	7	8	8	8
TRIM28	4	2	7	7	5	6	7	7	6	6	3	4	8	7	5	5	6	6
TUBB2A	3	4	7	5	4	4	7	7	4	8	6	5	6	6	3	6	5	5
DAG1	4	3	5	5	6	5	3	5	8	4	6	9	7	6	7	6	4	5
DSG2	4	4	4	1	6	7	3	2	6	8	2	4	4	7	7	7	2	5
TTLL12	2	4	3	4	0	1	3	4	5	5	5	3	6	2	2	4	8	8
CTTN	4	5	7	4	6	5	7	6	7	7	5	6	8	6	7	7	5	7
CDHR3	1	1	9	3	9	4	8	7	0	0	9	1	7	1	8	6	5	2
GALNT7	5	4	5	6	7	5	5	7	5	8	5	7	6	7	3	7	3	8
ABHD11	3	3	8	5	6	5	8	7	4	7	7	6	7	7	6	7	4	7
TSG101	5	2	8	7	7	8	9	8	8	7	7	6	8	7	6	7	6	8
CORO1B	3	4	5	5	4	7	4	8	4	9	6	8	4	7	3	5	5	5
SDF4	4	3	5	6	7	5	6	6	8	5	6	6	7	6	6	5	6	6
TSGA10	1	0	7	2	7	4	7	5	2	2	6	1	8	5	4	2	4	3
SCPEP1	6	4	7	3	8	5	6	4	7	5	6	6	6	5	7	6	6	6
GLOD4	6	2	6	7	7	7	6	7	7	8	7	6	7	8	6	7	5	7
S100A14	6	6	8	9	6	8	8	9	6	8	7	9	7	9	5	5	6	8
DPP3	5	2	8	4	7	4	7	6	7	8	6	7	6	7	8	8	6	9
TJP2	5	3	4	6	3	7	5	6	2	9	7	7	3	6	4	6	6	8
SUSD2	3	5	2	8	2	7	4	7	1	8	2	8	3	7	1	7	1	7
AK3	5	5	7	7	4	7	5	6	3	7	3	7	5	6	4	6	6	8
STK24	4	4	6	4	7	4	7	5	5	6	7	4	7	5	6	6	6	6
ODF3B	2	0	5	4	6	3	4	4	4	3	8	5	8	3	3	3	6	4
AGPS	1	2	3	3	5	4	5	6	2	7	2	2	6	6	3	5	4	7
PGRMC1	3	3	6	6	5	4	5	5	2	7	4	4	4	6	3	4	3	7
ARPC2	6	6	7	6	8	7	8	7	7	8	8	6	8	7	5	6	7	5
KLK10	7	6	4	5	5	6	5	5	7	3	6	6	6	5	5	4	3	4
HNRNPR	7	5	8	8	7	8	7	7	3	8	7	7	4	8	7	7	8	8
CPNE3	4	2	4	5	6	6	6	7	6	7	7	6	7	7	4	6	5	7
SEC31A	5	3	6	5	5	5	5	4	3	4	6	5	5	4	5	7	5	7
PGLS	5	2	5	6	7	5	5	5	6	6	7	5	7	4	4	7	5	6
TRIM16	4	5	4	5	2	6	4	7	3	8	4	5	4	6	3	7	5	8
ATP1B1	3	5	6	7	6	6	4	8	6	8	6	7	6	7	5	6	6	6
HEXB	8	6	6	5	8	7	7	7	8	6	8	7	6	7	8	7	7	8
CD55	2	5	5	6	5	7	7	8	5	7	6	6	6	6	5	6	6	6
ACAA1	2	3	3	3	3	6	4	4	2	5	4	6	4	4	2	4	6	5
LGALS1	5	4	6	7	7	8	8	8	7	6	7	6	6	6	5	6	6	5
G6PD	4	4	6	2	6	5	5	6	5	7	6	4	6	4	4	6	5	6
P4HA1	0	1	7	6	2	5	5	7	1	7	5	6	6	6	3	6	5	6
PFKL	4	1	7	6	4	6	7	7	1	8	7	7	5	6	2	7	5	6
PSMB1	4	5	7	6	7	7	6	7	6	8	5	6	7	6	5	7	5	7
MMUT	2	1	4	4	3	5	5	5	0	7	4	4	5	5	0	5	5	8
CFL1	8	7	8	8	8	6	8	7	8	8	7	8	8	8	7	8	6	7
S100P	6	5	6	7	8	8	7	8	5	7	7	8	7	7	4	5	5	6
PTBP1	5	3	5	5	6	5	7	7	5	5	6	6	4	6	5	7	6	5
PML	4	5	5	2	3	4	5	4	4	6	6	4	2	3	4	5	4	3
ALDH4A1	3	1	5	4	2	4	2	6	1	7	5	3	6	6	3	7	5	7
GDI1	2	2	6	3	4	3	4	2	4	6	4	4	5	4	4	6	4	4
HIBADH	4	2	3	5	2	2	4	4	3	5	4	3	4	5	4	6	5	6
S100A11	8	7	8	7	7	7	8	7	8	8	7	7	7	8	7	7	7	7
MYH10	3	2	4	3	4	5	6	5	3	5	7	4	6	2	4	5	3	5
COPB2	4	4	3	3	5	5	5	5	4	8	4	5	7	5	4	5	6	8
DDOST	5	1	5	5	4	5	5	6	5	8	4	5	6	4	3	7	5	8
ADH7	0	2	4	4	2	5	4	5	1	6	4	5	4	4	4	6	6	6
QARS1	4	4	4	5	3	5	6	6	2	6	4	4	4	5	4	6	2	4
GNAQ	5	4	7	5	6	6	7	6	4	5	6	7	7	7	6	5	4	5
COPB1	6	2	5	4	4	4	3	5	4	6	4	4	5	6	2	5	4	6
PLTP	2	2	4	2	6	3	6	3	7	4	5	4	6	3	6	4	6	3
RPS3A	7	6	6	7	7	7	8	8	6	7	5	8	7	8	4	4	4	6
PSMC5	2	2	3	4	3	4	4	5	4	7	4	2	5	3	4	6	6	7
GNB2	3	1	4	3	3	3	3	3	2	4	6	5	4	4	2	4	2	2
CSNK2A1	4	1	7	4	4	5	7	5	4	7	4	3	5	5	6	6	6	6
C1QBP	3	3	6	6	7	6	8	6	6	5	7	5	8	6	6	6	6	6
ARHGAP1	5	4	6	7	5	6	6	8	5	7	7	5	6	7	4	7	6	8
ST3GAL4	1	3	1	5	2	8	1	6	0	6	0	3	0	8	0	4	1	6
FSTL1	4	5	6	5	8	7	5	6	8	8	6	7	6	8	4	6	5	5
PSMD2	3	4	7	4	5	5	7	7	3	7	7	7	6	7	5	6	6	7
CUL3	1	0	1	2	4	1	2	3	0	6	3	2	4	3	2	3	4	6
PPP1R7	2	0	5	4	6	5	2	6	2	7	4	5	5	5	6	5	5	6
SLC9A3R2	6	5	7	7	8	7	6	8	7	8	7	7	7	8	8	8	5	8
IGFBP7	7	5	7	6	8	6	8	7	8	6	7	6	8	6	4	6	4	4
UGP2	5	6	5	3	6	5	6	3	5	8	7	5	6	4	6	5	6	7
HP1BP3	7	1	8	6	6	6	7	7	5	8	7	5	6	6	7	7	7	7
CD109	3	4	5	1	5	4	5	5	6	5	4	5	7	5	6	6	7	3
B3GNT6	2	8	1	3	2	4	1	4	2	6	1	6	3	3	1	5	2	6
SYTL1	4	3	6	3	6	6	7	6	4	6	6	6	7	7	6	3	5	7
TXNDC5	3	4	6	7	5	6	6	7	4	8	5	4	6	6	3	5	2	6
AGR3	5	4	6	7	7	7	7	7	5	7	6	7	5	7	3	3	3	3
ITLN1	0	3	0	8	0	8	0	7	0	0	1	0	0	7	0	6	0	0
RSPH1	2	0	8	4	5	4	8	7	4	3	8	6	7	6	3	3	3	2
PXDN	6	6	1	1	4	5	1	2	7	5	4	3	3	2	6	6	4	5
DDX17	6	3	6	6	6	4	7	7	5	7	7	5	7	6	7	8	8	8
GLG1	5	3	6	6	4	4	5	7	5	6	4	6	6	7	3	6	3	5
PGM2	5	3	7	5	6	4	6	6	7	6	6	5	7	6	7	6	6	7
PDLIM5	4	3	4	6	3	4	6	6	5	7	4	7	5	5	4	6	4	4
LOXL4	0	6	1	3	3	7	1	7	1	6	3	6	0	6	2	5	2	3
VPS35	4	3	5	4	6	3	5	6	6	6	4	3	6	5	6	6	5	6
NAP1L4	1	3	4	4	6	7	7	6	3	5	6	6	5	6	2	3	3	5
ERP44	4	3	4	4	3	4	5	6	2	7	3	5	4	5	3	5	4	7
TPPP3	6	2	8	8	8	8	8	8	8	8	8	7	8	8	7	7	8	7
RSPH9	2	0	8	5	6	4	8	7	7	2	8	5	8	5	5	4	5	4
PPA2	7	2	8	7	7	7	7	8	6	8	7	7	7	7	5	7	7	8
IFT122	0	1	3	1	3	1	6	1	2	0	5	1	8	2	2	0	3	0
GPRC5C	7	4	5	4	8	6	7	6	6	5	5	6	7	7	7	5	5	6
RTN4	4	1	4	2	4	3	4	3	3	4	5	3	5	5	4	5	5	4
SEPTIN9	6	5	6	4	4	4	4	5	3	5	4	4	6	4	5	6	3	5
BAIAP2L1	1	0	5	1	3	1	2	3	3	6	6	2	5	4	4	4	5	4
SERPINB13	2	4	3	5	1	6	5	8	5	7	3	6	2	6	2	7	5	8
SLC25A13	1	1	4	1	2	3	4	6	0	5	3	1	4	6	2	4	5	6
PARP4	1	1	4	3	2	5	3	5	1	5	3	3	4	3	3	4	3	6
HEBP2	6	4	7	5	6	6	8	7	7	8	8	6	7	7	8	8	8	8
UBA6	3	1	6	5	6	6	5	7	3	7	5	5	4	6	4	6	6	7
EIF3CL	5	2	5	6	5	5	7	7	6	6	5	6	5	6	4	6	5	6
SNAP23	3	3	5	4	5	5	6	5	2	6	5	5	4	5	3	5	2	5
RAB27B	7	6	7	6	6	7	6	7	6	7	7	7	6	7	6	7	5	6
PDXK	4	4	4	4	4	5	4	5	5	4	4	3	4	5	5	6	4	5
DNALI1	2	0	5	1	4	1	7	3	3	0	7	5	5	3	4	1	6	3
GIPC1	5	3	7	6	1	5	7	6	3	5	6	6	5	6	3	4	3	3
MYL12B	3	4	4	4	5	5	5	4	5	5	5	4	5	5	4	5	5	5
GMDS	4	1	3	3	3	6	2	5	3	6	2	4	4	6	3	3	3	4
SEC22B	5	2	7	4	6	3	6	7	5	7	7	5	7	5	6	5	6	6
NDUFS3	3	4	4	5	4	3	5	6	2	7	4	4	5	5	3	4	2	6
SCEL	1	0	0	2	0	2	1	6	0	5	3	2	0	3	2	3	7	7
CA2	1	3	1	6	3	6	1	7	3	7	2	3	2	5	0	6	1	6
KRT6A	5	5	6	6	6	6	6	6	5	6	6	6	6	6	5	5	5	5
SLPI	7	3	7	7	7	7	6	7	7	7	6	6	7	7	3	6	2	6
OAT	4	1	6	2	6	5	6	4	2	7	4	4	6	5	4	4	5	7
APP	2	6	6	6	4	5	6	6	5	7	6	5	6	4	5	6	5	6
S100A8	5	5	6	6	7	7	7	7	5	6	6	7	5	5	4	7	5	6
RPLP0	6	3	6	6	7	6	6	6	5	6	6	6	6	6	6	6	6	6
S100A6	6	4	5	5	5	6	6	6	5	5	6	5	6	6	4	5	4	4
GPX1	5	4	4	5	6	4	6	6	4	5	3	3	6	6	5	3	6	6
HNRNPC	4	2	4	3	4	5	4	5	3	4	5	4	4	5	2	1	2	3
ANXA6	2	2	3	4	2	4	2	4	2	7	3	4	1	3	2	7	2	7
GSTA1	6	4	4	5	3	4	5	6	2	4	5	5	6	4	2	5	5	6
PDHA1	2	2	4	3	6	4	3	4	2	6	1	4	6	4	5	3	5	5
CYC1	4	2	4	4	1	2	3	5	0	3	3	4	3	5	1	2	1	3
GNAI3	5	3	4	4	5	5	6	6	3	5	6	6	6	4	6	6	5	6
HNRNPA1	5	6	6	7	7	7	7	6	7	7	7	7	7	7	5	6	6	5
CTSH	6	5	6	3	5	6	6	5	5	5	6	4	6	5	5	5	5	5
TXN	6	6	5	5	5	6	6	7	4	7	6	6	4	6	4	5	5	5
PDHB	6	4	7	6	4	5	5	6	7	7	7	6	5	6	6	7	6	7
APEH	2	2	3	2	4	3	4	4	3	4	3	2	4	3	3	4	3	4
HPGD	1	6	1	4	1	6	1	1	0	6	2	1	2	3	1	4	1	6
GLB1	5	3	5	4	6	4	4	6	6	7	3	5	4	5	5	5	4	5
