1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
MUC4	22	13	18	16	25	20	25	24	22	15	27	24	19	13	16	17	19	17
ACO2	22	20	27	30	25	28	25	29	21	28	29	25	27	26	21	24	23	24
HYOU1	19	17	23	20	21	26	22	28	20	28	23	23	22	24	19	21	19	25
CROCC2	5	3	23	8	25	16	16	16	8	14	26	12	27	18	19	9	22	11
MYO1D	9	3	25	12	22	12	26	21	19	19	27	19	26	17	15	17	19	22
VIM	19	23	20	18	28	28	17	15	25	27	16	21	25	27	26	27	20	23
HSPA5	26	25	30	29	27	27	27	29	23	29	27	28	27	29	23	26	23	25
PDIA3	22	22	28	29	25	27	24	29	24	29	22	27	26	24	21	25	22	24
HSPA9	25	21	26	25	29	26	27	27	22	30	26	25	29	27	21	27	25	26
EVPL	13	11	16	17	10	11	24	29	14	25	24	16	18	16	23	23	31	30
ATP1A1	19	20	25	24	23	27	23	28	17	27	21	25	23	25	16	22	21	24
PDIA4	20	17	26	24	26	24	21	25	22	29	20	26	23	27	24	24	23	24
DNAH9	1	1	13	4	4	3	21	5	4	3	22	6	20	3	4	1	8	4
KRT18	19	17	25	22	23	23	20	24	19	26	25	19	21	26	16	18	16	18
ANXA2	25	22	26	26	26	27	27	28	26	27	26	26	27	27	24	25	24	24
HSP90AA1	17	17	27	23	22	27	26	26	21	27	25	26	21	27	19	22	20	20
HNRNPM	19	14	26	22	22	24	26	29	19	28	22	20	22	26	13	19	13	15
PGK1	23	20	26	27	25	24	25	27	23	25	24	27	24	26	17	20	14	17
ALPL	13	23	19	25	23	24	20	25	22	24	21	26	22	23	16	17	19	21
